adt and test case,time,time_synth,time_lattice_construct,natoms,quality
ht-cond-size-get,13.15,13.10,0.00,49,complex complete 
pullPayment,-1,-1,-1,-1,error 
linear-bool,1.47,1.40,0.00,9,simple complete 
linear,0.25,0.03,0.00,0,simple complete 
auction1,0.83,0.07,0.00,0,simple complete 
ht-add-put,38.96,38.86,0.00,681,complex complete 
array2,7.88,7.82,0.00,147,complex complete 
simple,-1,-1,-1,-1,error 
auction2,0.80,0.07,0.00,0,simple complete 
dict,120.21,120.00,0.00,3955,complex incomplete 
nested-counter_1,13.14,13.08,0.00,609,complex complete 
nested-counter_2,70.88,70.80,0.00,4688,complex complete 
even-odd,-1,-1,-1,-1,error 
conditional,-1,-1,-1,-1,error 
nonlinear,5.36,5.11,0.00,26,complex complete 
auction4,-1,-1,-1,-1,error 
ht-cond-mem-get,12.38,12.32,0.00,41,complex incomplete 
ht-simple,120.33,120.00,0.00,656,complex incomplete 
calc,0.14,0.04,0.00,0,simple incomplete 
standardToken2,120.40,120.00,0.00,288,complex incomplete 
array1,-1,-1,-1,-1,error 
standardToken4,120.22,120.00,0.00,4600,complex incomplete 
standardToken5,-1,-1,-1,-1,error 
auction3,-1,-1,-1,-1,error 
matrix,3.72,3.32,0.00,2,simple complete 
counter,1.36,1.32,0.00,65,complex complete 
nested_1,0.06,0.02,0.00,0,simple complete 
nested_2,0.51,0.48,0.00,2,simple complete 
array3,38.00,37.92,0.00,3666,complex complete 
standardToken3,23.83,23.71,0.00,222,complex incomplete 
linear-cond,14.48,14.40,0.00,891,complex complete 
standardToken1,0.11,0.05,0.00,0,simple complete 
dot-product,0.20,0.06,0.00,0,simple complete 
array-disjoint,-1,-1,-1,-1,error 
loop-inter,84.56,84.52,0.00,0,simple incomplete 
loop-disjoint,0.03,0.02,0.00,0,simple complete 
loop-amt,2.77,2.71,0.00,30,complex incomplete 
loop-simple,0.10,0.03,0.00,0,simple complete  
