adt and test case,time,time_synth,time_lattice_construct,natoms,quality
ht-cond-size-get,5.59,2.31,3.23,3,simple complete 
pullPayment,26.93,7.98,18.82,3,simple complete 
linear-bool,12.10,3.98,8.03,7,simple complete 
linear,87.26,0.03,86.96,0,simple complete 
auction1,-2,-2,300.25,0,simple complete 
ht-add-put,23.89,8.72,15.05,3,simple complete 
array2,8.83,4.73,4.03,3,simple complete 
simple,38.57,20.75,17.67,25,complex incomplete 
auction2,-2,-2,300.24,0,simple complete 
dict,67.14,10.71,56.20,3,simple complete 
nested-counter_1,8.62,2.25,6.29,3,simple complete 
nested-counter_2,22.73,11.51,11.12,19,complex complete 
even-odd,5.89,1.76,4.06,1,simple incomplete 
conditional,-1,-1,-1,-1,error 
nonlinear,-2,-2,300.01,1,simple complete 
auction4,-2,-2,300.32,1,simple complete 
ht-cond-mem-get,6.44,2.85,3.52,1,simple incomplete 
ht-simple,216.52,50.17,165.99,3,simple complete 
calc,61.44,44.84,16.46,37,complex incomplete 
standardToken2,-2,-2,231.04,0,simple incomplete 
array1,4.51,2.23,2.22,9,simple complete 
standardToken4,59.90,2.52,57.13,1,simple complete 
standardToken5,-2,-2,300.04,0,simple incomplete 
auction3,-2,-2,300.22,12,complex complete 
matrix,-2,-2,300.02,1,simple complete 
counter,1.62,0.49,1.08,1,simple complete 
nested_1,1.75,0.02,1.68,0,simple complete 
nested_2,2.49,0.77,1.68,1,simple complete 
array3,10.59,2.14,8.36,3,simple complete 
standardToken3,-2,-2,20.83,0,simple incomplete 
linear-cond,9.84,2.48,7.28,4,simple complete 
standardToken1,4.80,0.06,4.67,0,simple complete 
dot-product,29.22,0.06,29.00,0,simple complete 
array-disjoint,2.05,1.04,0.97,3,simple complete 
loop-inter,-2,-2,2.29,0,simple incomplete 
loop-disjoint,0.11,0.02,0.08,0,simple complete 
loop-amt,10.48,5.63,4.78,2,simple incomplete 
loop-simple,5.40,0.03,5.29,0,simple complete  
