adt and test case,time,time_synth,time_lattice_construct,natoms,quality
ht-cond-size-get,3.23,1.42,1.76,3,simple complete 
pullPayment,24.51,7.57,16.83,3,simple complete 
linear-bool,4.32,2.33,1.95,7,simple complete 
linear,49.66,0.03,49.48,0,simple complete 
auction1,63.41,0.07,63.13,0,simple complete 
ht-add-put,14.36,6.81,7.47,3,simple complete 
array2,3.78,2.53,1.22,3,simple complete 
simple,12.05,6.51,5.47,22,complex incomplete 
auction2,96.87,0.06,96.56,0,simple complete 
dict,44.96,12.15,32.66,3,simple complete 
nested-counter_1,1.65,0.86,0.76,3,simple complete 
nested-counter_2,4.50,3.73,0.74,14,complex incomplete 
even-odd,-1,-1,-1,-1,error 
conditional,0.32,0.27,0.04,1,simple complete 
nonlinear,-2,-2,300.01,1,simple complete 
auction4,-2,-2,300.23,1,simple complete 
ht-cond-mem-get,4.33,1.36,2.92,1,simple incomplete 
ht-simple,138.70,37.78,100.67,7,simple complete 
calc,7.27,0.04,7.16,0,simple incomplete 
standardToken2,-2,-2,300.02,0,simple incomplete 
array1,1.58,1.28,0.28,9,simple complete 
standardToken4,41.14,2.14,38.84,1,simple complete 
standardToken5,-2,-2,300.03,0,simple incomplete 
auction3,-2,-2,300.16,12,complex complete 
matrix,150.08,3.24,146.53,1,simple complete 
counter,0.42,0.25,0.15,1,simple complete 
nested_1,0.23,0.02,0.19,0,simple complete 
nested_2,0.45,0.36,0.08,1,simple complete 
array3,8.75,1.56,7.12,3,simple complete 
standardToken3,-2,-2,32.84,0,simple incomplete 
linear-cond,4.26,1.48,2.74,4,simple complete 
standardToken1,9.53,0.06,9.39,0,simple complete 
dot-product,28.51,0.06,28.30,0,simple complete 
array-disjoint,4.09,1.18,2.86,3,simple complete 
loop-inter,20.33,7.55,12.67,3,simple complete 
loop-disjoint,0.06,0.01,0.04,0,simple complete 
loop-amt,13.26,9.45,3.76,10,complex incomplete 
loop-simple,0.27,0.03,0.22,0,simple complete  
