adt and test case,time,time_synth,time_lattice_construct,natoms,quality
ht-cond-size-get,8.97,8.90,0.00,3,simple complete 
pullPayment,-1,-1,-1,-1,error 
linear-bool,1.73,1.66,0.00,9,simple complete 
linear,0.24,0.03,0.00,0,simple complete 
auction1,0.82,0.07,0.00,0,simple complete 
ht-add-put,14.91,14.80,0.00,2,simple complete 
array2,7.64,7.58,0.00,99,complex complete 
simple,-1,-1,-1,-1,error 
auction2,0.78,0.06,0.00,0,simple complete 
dict,25.09,24.89,0.00,3,simple complete 
nested-counter_1,13.23,13.16,0.00,545,complex complete 
nested-counter_2,71.67,71.59,0.00,1365,complex complete 
even-odd,-1,-1,-1,-1,error 
conditional,-1,-1,-1,-1,error 
nonlinear,6.82,6.58,0.00,26,complex complete 
auction4,-1,-1,-1,-1,error 
ht-cond-mem-get,7.78,7.72,0.00,3,simple incomplete 
ht-simple,48.12,47.79,0.00,3,simple complete 
calc,0.14,0.04,0.00,0,simple incomplete 
standardToken2,-2,-2,0.00,0,simple incomplete 
array1,-1,-1,-1,-1,error 
standardToken4,-1,-1,-1,-1,error 
standardToken5,-2,-2,0.00,0,simple incomplete 
auction3,-1,-1,-1,-1,error 
matrix,4.57,4.17,0.00,2,simple complete 
counter,1.50,1.47,0.00,33,complex complete 
nested_1,0.06,0.02,0.00,0,simple complete 
nested_2,0.65,0.61,0.00,2,simple complete 
array3,26.01,25.93,0.00,1601,complex complete 
standardToken3,-2,-2,0.00,0,simple incomplete 
linear-cond,8.87,8.80,0.00,263,complex complete 
standardToken1,0.11,0.05,0.00,0,simple complete 
dot-product,0.20,0.06,0.00,0,simple complete 
array-disjoint,-1,-1,-1,-1,error 
loop-inter,-2,-2,0.00,0,simple incomplete 
loop-disjoint,0.03,0.02,0.00,0,simple complete 
loop-amt,3.77,3.71,0.00,30,complex incomplete 
loop-simple,0.10,0.03,0.00,0,simple complete  
