adt and test case,time,time_synth,time_lattice_construct,natoms,quality
ht-cond-size-get,13.87,12.05,1.77,179,complex complete 
pullPayment,136.87,120.00,16.76,14401,complex incomplete 
linear-bool,3.91,1.91,1.97,46,complex complete 
linear,49.83,0.03,49.65,0,simple complete 
auction1,63.19,0.07,62.91,0,simple complete 
ht-add-put,127.54,120.00,7.46,4956,complex incomplete 
array2,4.46,3.20,1.23,14,complex complete 
simple,125.59,120.00,5.53,15577,complex incomplete 
auction2,96.88,0.06,96.58,0,simple complete 
dict,153.26,120.00,33.11,3957,complex incomplete 
nested-counter_1,1.63,0.85,0.75,23,complex complete 
nested-counter_2,4.33,3.57,0.74,168,complex incomplete 
even-odd,-1,-1,-1,-1,error 
conditional,0.36,0.31,0.04,5,simple complete 
nonlinear,-2,-2,300.01,27,complex complete 
auction4,-2,-2,300.24,104,complex complete 
ht-cond-mem-get,19.27,16.31,2.90,287,complex incomplete 
ht-simple,221.30,120.00,101.07,1291,complex incomplete 
calc,7.30,0.04,7.18,0,simple incomplete 
standardToken2,-2,-2,300.02,151,complex incomplete 
array1,1.54,1.24,0.28,49,complex complete 
standardToken4,112.74,73.77,38.80,223,complex incomplete 
standardToken5,-2,-2,300.03,0,simple incomplete 
auction3,-2,-2,300.17,10238,complex incomplete 
matrix,266.77,120.00,146.46,310,complex incomplete 
counter,0.43,0.26,0.15,3,simple complete 
nested_1,0.23,0.02,0.19,0,simple complete 
nested_2,0.77,0.66,0.09,11,complex complete 
array3,19.58,12.34,7.17,788,complex complete 
standardToken3,60.92,28.04,32.71,65,complex incomplete 
linear-cond,15.81,13.04,2.73,805,complex complete 
standardToken1,9.55,0.06,9.41,0,simple complete 
dot-product,28.55,0.06,28.33,0,simple complete 
array-disjoint,8.24,5.30,2.88,203,complex complete 
loop-inter,132.76,120.00,12.66,933,complex incomplete 
loop-disjoint,0.06,0.01,0.04,0,simple complete 
loop-amt,123.84,120.00,3.78,4181,complex incomplete 
loop-simple,0.27,0.03,0.22,0,simple complete  
