adt and test case,time,time_synth,time_lattice_construct,natoms,quality
ht-cond-size-get,6.14,6.10,0.00,3,simple complete 
pullPayment,6.64,6.51,0.00,134,complex complete 
linear-bool,1.24,1.20,0.00,9,simple complete 
linear,0.24,0.03,0.00,0,simple complete 
auction1,0.33,0.07,0.00,0,simple complete 
ht-add-put,13.23,13.15,0.00,3,simple complete 
array2,3.90,3.86,0.00,15,complex complete 
simple,46.31,46.23,0.00,1403,complex incomplete 
auction2,0.38,0.06,0.00,0,simple complete 
dict,15.68,15.49,0.00,3,simple complete 
nested-counter_1,0.87,0.84,0.00,11,complex complete 
nested-counter_2,2.95,2.91,0.00,33,complex incomplete 
even-odd,5.73,5.69,0.00,63,complex incomplete 
conditional,0.18,0.17,0.00,1,simple complete 
nonlinear,6.46,6.24,0.00,26,complex complete 
auction4,11.36,10.60,0.00,71,complex complete 
ht-cond-mem-get,5.28,5.23,0.00,3,simple incomplete 
ht-simple,42.30,42.00,0.00,3,simple complete 
calc,48.71,48.62,0.00,248,complex incomplete 
standardToken2,120.46,120.00,0.00,0,simple incomplete 
array1,0.79,0.77,0.00,11,complex complete 
standardToken4,2.32,2.11,0.00,2,simple complete 
standardToken5,120.63,120.00,0.00,0,simple incomplete 
auction3,120.61,120.00,0.00,6821,complex incomplete 
matrix,4.55,4.12,0.00,2,simple complete 
counter,0.37,0.35,0.00,3,simple complete 
nested_1,0.04,0.02,0.00,0,simple complete 
nested_2,0.31,0.29,0.00,2,simple complete 
array3,7.75,7.66,0.00,275,complex complete 
standardToken3,12.81,12.61,0.00,1,simple complete 
linear-cond,2.84,2.79,0.00,47,complex complete 
standardToken1,0.16,0.06,0.00,0,simple complete 
dot-product,0.23,0.06,0.00,0,simple complete 
array-disjoint,11.54,11.49,0.00,461,complex complete 
loop-inter,3.37,3.25,0.00,24,complex complete 
loop-disjoint,0.02,0.01,0.00,0,simple complete 
loop-amt,3.83,3.76,0.00,37,complex incomplete 
loop-simple,0.05,0.03,0.00,0,simple complete  
