adt and test case,time,time_synth,time_lattice_construct,natoms,quality
ht-cond-size-get,4.26,0.97,3.23,3,simple complete 
pullPayment,21.49,2.52,18.84,3,simple complete 
linear-bool,11.63,3.53,8.01,9,simple complete 
linear,86.90,0.03,86.61,0,simple complete 
auction1,-2,-2,300.25,0,simple complete 
ht-add-put,19.83,4.65,15.06,2,simple complete 
array2,5.63,1.53,4.03,3,simple complete 
simple,22.32,4.36,17.82,5,simple incomplete 
auction2,-2,-2,300.25,0,simple complete 
dict,59.65,3.22,56.20,3,simple complete 
nested-counter_1,7.87,1.50,6.29,6,simple complete 
nested-counter_2,23.67,12.45,11.12,25,complex complete 
even-odd,5.53,1.42,4.05,3,simple incomplete 
conditional,-1,-1,-1,-1,error 
nonlinear,-2,-2,300.01,1,simple complete 
auction4,-2,-2,300.33,1,simple complete 
ht-cond-mem-get,5.14,1.54,3.53,3,simple incomplete 
ht-simple,189.80,22.01,167.42,3,simple complete 
calc,124.80,108.15,16.52,66,complex incomplete 
standardToken2,353.28,120.00,232.82,0,simple incomplete 
array1,3.36,1.08,2.23,5,simple complete 
standardToken4,58.13,0.76,57.12,1,simple complete 
standardToken5,-2,-2,300.04,0,simple incomplete 
auction3,-2,-2,300.23,4,simple complete 
matrix,-2,-2,300.02,1,simple complete 
counter,1.31,0.18,1.08,1,simple complete 
nested_1,1.76,0.02,1.69,0,simple complete 
nested_2,1.87,0.14,1.68,1,simple complete 
array3,9.50,1.03,8.37,3,simple complete 
standardToken3,141.06,120.00,20.93,0,simple incomplete 
linear-cond,10.23,2.88,7.26,11,complex complete 
standardToken1,4.81,0.06,4.69,0,simple complete 
dot-product,29.32,0.06,29.10,0,simple complete 
array-disjoint,1.59,0.58,0.97,3,simple complete 
loop-inter,76.14,73.79,2.30,0,simple incomplete 
loop-disjoint,0.12,0.02,0.08,0,simple complete 
loop-amt,124.87,120.00,4.79,96,complex incomplete 
loop-simple,5.41,0.03,5.30,0,simple complete  
