adt and test case,time,time_synth,time_lattice_construct,natoms,quality
ht-cond-size-get,12.48,12.44,0.00,179,complex complete 
pullPayment,7.00,6.88,0.00,350,complex complete 
linear-bool,0.93,0.90,0.00,9,simple complete 
linear,0.19,0.03,0.00,0,simple complete 
auction1,0.28,0.06,0.00,0,simple complete 
ht-add-put,-2,-2,0.00,5362,complex incomplete 
array2,3.65,3.62,0.00,24,complex complete 
simple,41.66,41.59,0.00,3552,complex incomplete 
auction2,0.31,0.05,0.00,0,simple complete 
dict,-2,-2,0.00,4523,complex incomplete 
nested-counter_1,0.64,0.62,0.00,11,complex complete 
nested-counter_2,1.47,1.45,0.00,41,complex incomplete 
even-odd,-1,-1,-1,-1,error 
conditional,0.13,0.12,0.00,1,simple complete 
nonlinear,5.36,5.18,0.00,27,complex complete 
auction4,10.81,10.20,0.00,104,complex complete 
ht-cond-mem-get,15.68,15.63,0.00,287,complex incomplete 
ht-simple,-2,-2,0.00,1327,complex incomplete 
calc,0.12,0.04,0.00,0,simple incomplete 
standardToken2,-2,-2,0.00,227,complex incomplete 
array1,0.53,0.51,0.00,11,complex complete 
standardToken4,1.80,1.64,0.00,2,simple complete 
standardToken5,-2,-2,0.00,0,simple incomplete 
auction3,-2,-2,0.00,10604,complex incomplete 
matrix,3.33,3.00,0.00,2,simple complete 
counter,0.27,0.25,0.00,3,simple complete 
nested_1,0.04,0.02,0.00,0,simple complete 
nested_2,0.23,0.22,0.00,2,simple complete 
array3,7.23,7.16,0.00,448,complex complete 
standardToken3,24.50,24.33,0.00,135,complex incomplete 
linear-cond,2.02,1.97,0.00,52,complex complete 
standardToken1,0.13,0.05,0.00,0,simple complete 
dot-product,0.22,0.06,0.00,0,simple complete 
array-disjoint,12.08,12.04,0.00,995,complex complete 
loop-inter,2.49,2.40,0.00,24,complex complete 
loop-disjoint,0.02,0.01,0.00,0,simple complete 
loop-amt,2.61,2.55,0.00,37,complex incomplete 
loop-simple,0.04,0.02,0.00,0,simple complete  
