adt and test case,time,time_synth,time_lattice_construct,natoms,quality
ht-cond-size-get,2.64,0.70,1.89,3,simple complete 
pullPayment,20.39,2.85,17.41,3,simple complete 
linear-bool,4.57,2.33,2.20,11,complex complete 
linear,54.04,0.03,53.80,0,simple complete 
auction1,64.76,0.07,64.44,0,simple complete 
ht-add-put,11.15,3.21,7.85,3,simple complete 
array2,2.38,1.02,1.31,3,simple complete 
simple,8.75,2.61,6.07,5,simple incomplete 
auction2,100.13,0.06,99.77,0,simple complete 
dict,36.87,2.59,34.09,3,simple complete 
nested-counter_1,1.31,0.42,0.86,3,simple complete 
nested-counter_2,5.81,4.96,0.82,12,complex incomplete 
even-odd,2.48,0.98,1.46,3,simple incomplete 
conditional,0.23,0.17,0.04,1,simple complete 
nonlinear,38.84,0.77,37.87,1,simple complete 
auction4,-2,-2,300.23,1,simple complete 
ht-cond-mem-get,4.54,1.45,3.04,3,simple incomplete 
ht-simple,124.10,19.19,104.62,3,simple complete 
calc,81.09,73.05,7.95,54,complex incomplete 
standardToken2,-2,-2,300.02,0,simple incomplete 
array1,0.98,0.68,0.29,5,simple complete 
standardToken4,41.89,0.52,41.16,1,simple complete 
standardToken5,-2,-2,300.03,0,simple incomplete 
auction3,-2,-2,300.16,4,simple complete 
matrix,-2,-2,300.02,1,simple complete 
counter,0.35,0.14,0.19,1,simple complete 
nested_1,0.25,0.02,0.21,0,simple complete 
nested_2,0.30,0.16,0.12,1,simple complete 
array3,8.35,0.78,7.49,3,simple complete 
standardToken3,41.51,5.74,35.57,1,simple complete 
linear-cond,5.00,1.91,3.04,11,complex complete 
standardToken1,10.37,0.06,10.21,0,simple complete 
dot-product,29.61,0.06,29.39,0,simple complete 
array-disjoint,3.64,0.55,3.03,3,simple complete 
loop-inter,17.55,3.60,13.82,3,simple complete 
loop-disjoint,0.06,0.01,0.04,0,simple complete 
loop-amt,124.23,120.00,4.17,237,complex incomplete 
loop-simple,0.30,0.03,0.25,0,simple complete  
