adt and test case,time,time_synth,time_lattice_construct,natoms,quality
ht-cond-size-get,2.56,2.51,0.00,3,simple complete 
pullPayment,8.31,8.17,0.00,3,simple complete 
linear-bool,4.88,4.79,0.00,7,simple complete 
linear,0.31,0.03,0.00,0,simple complete 
auction1,0.98,0.07,0.00,0,simple complete 
ht-add-put,9.77,9.64,0.00,3,simple complete 
array2,5.56,5.49,0.00,3,simple complete 
simple,20.32,20.17,0.00,25,complex incomplete 
auction2,0.94,0.06,0.00,0,simple complete 
dict,11.64,11.40,0.00,3,simple complete 
nested-counter_1,2.58,2.50,0.00,3,simple complete 
nested-counter_2,14.27,14.17,0.00,17,complex complete 
even-odd,2.02,1.95,0.00,1,simple incomplete 
conditional,-1,-1,-1,-1,error 
nonlinear,9.64,9.34,0.00,1,simple complete 
auction4,2.11,1.09,0.00,1,simple complete 
ht-cond-mem-get,2.62,2.56,0.00,1,simple incomplete 
ht-simple,52.38,51.99,0.00,3,simple complete 
calc,48.94,48.80,0.00,37,complex incomplete 
standardToken2,120.47,120.00,0.00,0,simple incomplete 
array1,2.59,2.54,0.00,9,simple complete 
standardToken4,3.15,2.91,0.00,1,simple complete 
standardToken5,120.75,120.00,0.00,0,simple incomplete 
auction3,89.42,88.59,0.00,12,complex complete 
matrix,3.77,3.25,0.00,1,simple complete 
counter,0.79,0.75,0.00,1,simple complete 
nested_1,0.06,0.02,0.00,0,simple complete 
nested_2,1.22,1.18,0.00,1,simple complete 
array3,2.49,2.39,0.00,3,simple complete 
standardToken3,120.14,120.00,0.00,0,simple incomplete 
linear-cond,3.22,3.13,0.00,4,simple complete 
standardToken1,0.13,0.06,0.00,0,simple complete 
dot-product,0.22,0.06,0.00,0,simple complete 
array-disjoint,1.06,1.03,0.00,3,simple complete 
loop-inter,120.05,120.00,0.00,0,simple incomplete 
loop-disjoint,0.03,0.02,0.00,0,simple complete 
loop-amt,5.90,5.82,0.00,2,simple incomplete 
loop-simple,0.12,0.03,0.00,0,simple complete  
